DRUGBANK_ID,pipe_genesymbol
DB00690,GABRB2
DB01591,CHRM3
DB12714,KCNQ2
DB05984,BRAF
DB01069,CYP1A2
DB01151,THPO
DB00523,RARA
DB00273,GRIK1
DB12174,HDAC9
DB00758,CES1
DB06605,F10
DB00106,GNRHR
DB00570,TUBB2A
DB14068,ADORA3
DB01229,CASP3
DB00215,GRIA3
DB14078,KDM4E
DB01181,DNMT1
DB11886,FGFR2
DB00570,ABCB1
DB00916,IL6
DB00863,HRH2
DB00947,ESR1
DB05239,MAP2K1
DB11883,TRPV1
DB12402,HTR3A
DB00334,HTR6
DB01030,TOP1
DB06777,ABCB11
DB06280,KCNN4
DB15581,NFE2L2
DB00736,ATP4A
DB13061,AURKA
DB01100,CYP3A4
DB00909,AQP4
DB00981,ACHE
DB00182,SLC6A3
DB01234,NR5A1
DB15310,ACVR1B
DB01229,OPRM1
DB12637,NR3C2
DB01100,CYP2C19
DB00441,HCP5
DB00435,GUCY1A2
DB16296,PIK3CG
DB04786,FSHR
DB11969,AKT1
DB00675,CYP2B6
DB11743,AKT1
DB01590,MTOR
DB04842,EHMT2
DB06637,KCNA1
DB01115,CYP3A4
DB12717,GRIA1
DB05271,DRD5
DB00682,STX1B
DB00257,PPARD
DB00317,CEACAM5
DB00158,FOLR2
DB08814,HSD17B10
DB02010,CHRM2
DB01161,ATP1A1
DB04743,MPO
DB00668,NFE2L2
DB08653,HTR1B
DB12367,GRIA1
DB04854,UGT1A5
DB05294,PDGFRA
DB00918,HTR1D
DB04842,XBP1
DB00756,NAPEPLD
DB05076,RBP4
DB00448,PLK1
DB12327,OPRK1
DB06554,GABRG1
DB09073,CDKN2A
DB01121,SCN11A
DB09054,PIK3CD
DB00598,ADRB2
DB09570,PSMC5
DB00641,CYP2C19
DB01229,TUBB3
DB11641,TUBA3E
DB01204,NFKB1
DB01577,TAAR1
DB05913,FLT4
DB00909,CA1
DB00694,DROSHA
DB06634,TACR1
DB01588,GABRB1
DB00335,RRP1B
DB00907,DRD3
DB13044,MAPT
DB11689,MAP2K2
DB12429,MAPK8
DB00480,CUL4A
DB01233,DRD2
DB00641,CYP1A2
DB08911,RAF1
DB00257,NR1I2
DB13251,HTR3A
DB09167,CHRM2
DB06077,HTR2A
DB00091,AGTR1
DB12985,HDAC10
DB06589,FLT1
DB00641,NR1I2
DB08633,CDK2
DB15168,NR1H4
DB00661,CACNA1D
DB00475,GABRG1
DB04974,FKBP1A
DB01039,VEGFA
DB00584,DPP4
DB00800,DRD1
DB03860,ESR2
DB06228,F5
DB00753,GLRA1
DB05015,HDAC6
DB11832,PDGFRB
DB08911,TP53
DB01254,FYN
DB00703,CA7
DB00694,HDAC11
DB01085,NTF3
DB00993,PPAT
DB03428,MPHOSPH8
DB01229,CASP7
DB00586,ASIC3
DB11396,PPARG
DB08873,IFNL3
DB00341,TEK
DB00898,APOB
DB06169,TUBA1C
DB01933,MARK1
DB01041,HGF
DB15078,FGFR3
DB06182,DPP9
DB01235,DRD2
DB00418,GABRA1
DB00877,NFE2L2
DB00502,DRD2
DB08889,PSMB9
DB04216,APEX1
DB00484,HPGD
DB12830,OPRD1
DB11663,PIK3CA
DB03701,THPO
DB00975,CYP2D6
DB00730,CYP1A2
DB06403,EDNRB
DB06288,DRD3
DB11993,SLC6A9
DB01068,GABRA6
DB00624,RORC
DB06603,HDAC6
DB01248,NR1I2
DB12380,BIRC7
DB06182,CSF3
DB00334,HTR2C
DB04014,CDC7
DB04545,GBA
DB00734,UGT1A5
DB01268,FLT3
DB00585,HRH2
DB04216,HSPB1
DB12394,SCN5A
DB12966,GMNN
DB11798,MAPK8
DB12328,MAPK1
DB00762,TYMS
DB00338,CYP2C9
DB00715,CYP2D6
DB00371,GABRA1
DB03756,RXRA
DB01251,CYP3A4
DB00714,CYP1A2
DB00201,ADORA1
DB01072,UGT1A3
DB01259,ERBB4
DB08313,TUBB
DB00836,AR
DB06637,KCNC4
DB00620,FGF2
DB01174,GABRA5
DB00363,CCKBR
DB07662,BMX
DB12708,PTGFR
DB00398,FLT1
DB00678,AGTR1
DB00499,CYP3A4
DB08896,FLT1
DB01268,FLT1
DB00874,CYP3A4
DB01008,ITGAL
DB00996,CACNA1B
DB00391,DRD2
DB03322,TSHR
DB12588,JAK2
DB11805,LCK
DB06595,KIT
DB12371,S1PR1
DB00363,HTR1E
DB01559,GABRA3
DB06589,FLT4
DB02375,CASP6
DB00475,GABRG3
DB12141,RET
DB06623,HLA-DRB1
DB00563,ATIC
DB00511,ATP1A1
DB00349,GABRA1
DB15419,HDAC1
DB00563,DHFR
DB15822,RET
